Üretici,ÜreticiKodu,Açıklama,ÇalışmaSıcaklığı,Ref_SicaklıkDeğeri,Ref_SicaklıkDirençDeğeri,Ref_HataPayı,B_HataPayı,B0_50,B25_50,B25_75,B25_85,B25_100,Pdf
Amphenol Advanced Sensors,NKA272C1R2C,THERM NTC 2.7KOHM 3977K BEAD,-40°C ~ 190°C,25,2.7k,±2%,±0.75%,,,,3977K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA502C1R2C,THERMISTOR NTC 5KOHM 3977K BEAD,-40°C ~ 190°C,25,5k,±2%,±0.75%,,,,3977K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA103C4AR2C,THERMISTOR NTC 10KOHM 3435K BEAD,-40°C ~ 170°C,25,10k,±2%,±1%,,,,3435K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA103C5R2C,THERMISTOR NTC 10KOHM 3740K BEAD,-40°C ~ 170°C,25,10k,±2%,±1%,,,,3740K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA103C1R2C,THERMISTOR NTC 10KOHM 3977K BEAD,-40°C ~ 190°C,25,10k,±2%,±0.75%,,,,3977K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA123C5R2C,THERMISTOR NTC 12KOHM 3740K BEAD,-40°C ~ 170°C,25,12k,±2%,±1%,,,,3740K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA303C8R2C,THERMISTOR NTC 30KOHM 3977K BEAD,-40°C ~ 170°C,25,30k,±2%,±1%,,,,3977K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
Amphenol Advanced Sensors,NKA503C8R2C,THERMISTOR NTC 50KOHM 3977K BEAD,-40°C ~ 170°C,25,50k,±2%,±1%,,,,3977K,,https://www.amphenol-sensors.com/index.php?option=com_edocman&amp;task=document.download&amp;id=314
TDK Electronics Inc.,B57869S0502G140,THERMISTOR NTC 5KOHM 3988K BEAD,-55°C ~ 155°C,25,5k,±0.5%,-,,,,,3988K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Mini_sensors_S869.pdf
Honeywell Sensing and Productivity Solutions,173-501APC-301,THERMISTOR NTC 500OHM 3250K 0805,-60°C ~ 125°C,25,500,±1%,-,,,,3250K,,https://sensing.honeywell.com/honeywell-sensing-temperature-sensors-line-guide-009033-4-en.pdf
Littelfuse Inc.,PW102J2,THERMISTOR NTC 1KOHM 3892K BEAD,120°C,25,1k,±0.5°C,-,3892K,,,,,https://www.littelfuse.com/~/media/electronics/datasheets/leaded_thermistors/littelfuse_leaded_thermistors_interchangeable_thermistors_precision_pw_datasheet.pdf.pdf
Littelfuse Inc.,USX2210,THERMISTOR NTC 10KOHM 3892K BEAD,-55°C ~ 150°C,25,10k,±0.5°C,-,3892K,,,,,
Vishay BC Components,NTCLS100E3103H,THERMISTOR NTC 10KOHM 3977K BEAD,-40°C ~ 85°C,25,10k,±3%,±0.75%,,,,3977K,,http://www.vishay.com/docs/29188/ntcls100.pdf
Littelfuse Inc.,PS203J2,THERMISTOR NTC 20KOHM 3892K BEAD,75°C,25,20k,±0.1°C,-,3892K,,,,,https://www.littelfuse.com/~/media/electronics/datasheets/leaded_thermistors/littelfuse_leaded_thermistors_interchangeable_thermistors_standard_precision_ps_datasheet.pdf.pdf
Littelfuse Inc.,PS503R2,THERMISTOR NTC 50KOHM 4140K BEAD,75°C,25,50k,±0.1°C,-,4140K,,,,,https://www.littelfuse.com/~/media/electronics/datasheets/leaded_thermistors/littelfuse_leaded_thermistors_interchangeable_thermistors_standard_precision_ps_datasheet.pdf.pdf
Littelfuse Inc.,PS602J2,THERMISTOR NTC 6KOHM 3892K BEAD,75°C,25,6k,±0.1°C,-,3892K,,,,,https://www.littelfuse.com/~/media/electronics/datasheets/leaded_thermistors/littelfuse_leaded_thermistors_interchangeable_thermistors_standard_precision_ps_datasheet.pdf.pdf
TDK Electronics Inc.,B57863S0302G040,THERMISTOR NTC 3KOHM 3988K BEAD,-55°C ~ 155°C,25,3k,±0.5%,-,,,,,3988K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Mini_sensors_S863.pdf
TDK Electronics Inc.,B57863S0303G040,THERMISTOR NTC 30KOHM 3964K BEAD,-55°C ~ 155°C,25,30k,±0.5%,-,,,,,3964K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Mini_sensors_S863.pdf
TDK Electronics Inc.,B57551G0202H000,THERMISTOR NTC 2KOHM 3420K BEAD,-55°C ~ 200°C,25,2k,±3%,±1%,,,,3420K,3436K,
TDK Electronics Inc.,B57551G1303H005,THERMISTOR NTC 30KOHM 3973K BEAD,-55°C ~ 200°C,25,30k,±3%,±1%,,,,3973K,3988K,
TDK Electronics Inc.,B57551G1103H000,THERMISTOR NTC 10KOHM 3478K BEAD,-55°C ~ 200°C,25,10k,±3%,±1%,,,,3478K,3492K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1551_coated.pdf
TDK Electronics Inc.,B57551G1104H000,THERM NTC 100KOHM 4072K BEAD,-55°C ~ 200°C,25,100k,±3%,±1%,,,,4072K,4092K,https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1551_coated.pdf
